uid,area,outages,customers,percent_out,dt_stamp
Calvert2024-09-04T23:30:35,Calvert,0,41874,0.000,09/04/2024 11:30:35 PM
Caroline2024-09-04T23:30:35,Caroline,0,16253,0.000,09/04/2024 11:30:35 PM
Carroll2024-09-04T23:30:35,Carroll,0,76136,0.000,09/04/2024 11:30:35 PM
Cecil2024-09-04T23:30:35,Cecil,0,50187,0.000,09/04/2024 11:30:35 PM
Charles2024-09-04T23:30:35,Charles,0,72244,0.000,09/04/2024 11:30:35 PM
Dorchester2024-09-04T23:30:35,Dorchester,0,19928,0.000,09/04/2024 11:30:35 PM
Frederick2024-09-04T23:30:35,Frederick,1,116871,0.001,09/04/2024 11:30:35 PM
Garrett2024-09-04T23:30:35,Garrett,1,20396,0.005,09/04/2024 11:30:35 PM
Harford2024-09-04T23:30:35,Harford,0,114347,0.000,09/04/2024 11:30:35 PM
Howard2024-09-04T23:30:35,Howard,4,138196,0.003,09/04/2024 11:30:35 PM
Kent2024-09-04T23:30:35,Kent,0,12334,0.000,09/04/2024 11:30:35 PM
Montgomery2024-09-04T23:30:35,Montgomery,1,381561,0.000,09/04/2024 11:30:35 PM
Prince_George's2024-09-04T23:30:35,Prince George's,0,350986,0.000,09/04/2024 11:30:35 PM
Queen_Anne's2024-09-04T23:30:35,Queen Anne's,0,27627,0.000,09/04/2024 11:30:35 PM
Somerset2024-09-04T23:30:35,Somerset,0,11332,0.000,09/04/2024 11:30:35 PM
St._Mary's2024-09-04T23:30:35,St. Mary's,0,56237,0.000,09/04/2024 11:30:35 PM
Talbot2024-09-04T23:30:35,Talbot,0,23706,0.000,09/04/2024 11:30:35 PM
Washington2024-09-04T23:30:35,Washington,0,54026,0.000,09/04/2024 11:30:35 PM
Wicomico2024-09-04T23:30:35,Wicomico,0,50245,0.000,09/04/2024 11:30:35 PM
Worcester2024-09-04T23:30:35,Worcester,0,59063,0.000,09/04/2024 11:30:35 PM
Allegany2024-09-04T23:45:34,Allegany,0,37206,0.000,09/04/2024 11:45:34 PM
Anne_Arundel2024-09-04T23:45:34,Anne Arundel,10,260710,0.004,09/04/2024 11:45:34 PM
Baltimore2024-09-04T23:45:34,Baltimore,4,373184,0.001,09/04/2024 11:45:34 PM
Baltimore_City2024-09-04T23:45:34,Baltimore City,131,280617,0.047,09/04/2024 11:45:34 PM
Calvert2024-09-04T23:45:34,Calvert,0,41874,0.000,09/04/2024 11:45:34 PM
Caroline2024-09-04T23:45:34,Caroline,0,16253,0.000,09/04/2024 11:45:34 PM
Carroll2024-09-04T23:45:34,Carroll,0,76136,0.000,09/04/2024 11:45:34 PM
Cecil2024-09-04T23:45:34,Cecil,0,50187,0.000,09/04/2024 11:45:34 PM
Charles2024-09-04T23:45:34,Charles,90,72244,0.125,09/04/2024 11:45:34 PM
Dorchester2024-09-04T23:45:34,Dorchester,0,19928,0.000,09/04/2024 11:45:34 PM
Frederick2024-09-04T23:45:34,Frederick,1,116871,0.001,09/04/2024 11:45:34 PM
Garrett2024-09-04T23:45:34,Garrett,1,20396,0.005,09/04/2024 11:45:34 PM
Harford2024-09-04T23:45:34,Harford,0,114347,0.000,09/04/2024 11:45:34 PM
Howard2024-09-04T23:45:34,Howard,4,138196,0.003,09/04/2024 11:45:34 PM
Kent2024-09-04T23:45:34,Kent,0,12334,0.000,09/04/2024 11:45:34 PM
Montgomery2024-09-04T23:45:34,Montgomery,1,381561,0.000,09/04/2024 11:45:34 PM
Prince_George's2024-09-04T23:45:34,Prince George's,0,350986,0.000,09/04/2024 11:45:34 PM
Queen_Anne's2024-09-04T23:45:34,Queen Anne's,0,27627,0.000,09/04/2024 11:45:34 PM
Somerset2024-09-04T23:45:34,Somerset,0,11332,0.000,09/04/2024 11:45:34 PM
St._Mary's2024-09-04T23:45:34,St. Mary's,0,56237,0.000,09/04/2024 11:45:34 PM
Talbot2024-09-04T23:45:34,Talbot,0,23706,0.000,09/04/2024 11:45:34 PM
Washington2024-09-04T23:45:34,Washington,0,54026,0.000,09/04/2024 11:45:34 PM
Wicomico2024-09-04T23:45:34,Wicomico,0,50245,0.000,09/04/2024 11:45:34 PM
Worcester2024-09-04T23:45:34,Worcester,0,59063,0.000,09/04/2024 11:45:34 PM
Allegany2024-09-05T00:00:36,Allegany,0,37206,0.000,09/05/2024 12:00:36 AM
Anne_Arundel2024-09-05T00:00:36,Anne Arundel,10,260710,0.004,09/05/2024 12:00:36 AM
Baltimore2024-09-05T00:00:36,Baltimore,4,373184,0.001,09/05/2024 12:00:36 AM
Baltimore_City2024-09-05T00:00:36,Baltimore City,131,280617,0.047,09/05/2024 12:00:36 AM
Calvert2024-09-05T00:00:36,Calvert,0,41874,0.000,09/05/2024 12:00:36 AM
Caroline2024-09-05T00:00:36,Caroline,0,16253,0.000,09/05/2024 12:00:36 AM
Carroll2024-09-05T00:00:36,Carroll,0,76136,0.000,09/05/2024 12:00:36 AM
Cecil2024-09-05T00:00:36,Cecil,4,50187,0.008,09/05/2024 12:00:36 AM
Charles2024-09-05T00:00:36,Charles,90,72244,0.125,09/05/2024 12:00:36 AM
Dorchester2024-09-05T00:00:36,Dorchester,0,19928,0.000,09/05/2024 12:00:36 AM
Frederick2024-09-05T00:00:36,Frederick,1,116871,0.001,09/05/2024 12:00:36 AM
Garrett2024-09-05T00:00:36,Garrett,1,20396,0.005,09/05/2024 12:00:36 AM
Harford2024-09-05T00:00:36,Harford,0,114347,0.000,09/05/2024 12:00:36 AM
Howard2024-09-05T00:00:36,Howard,4,138196,0.003,09/05/2024 12:00:36 AM
Kent2024-09-05T00:00:36,Kent,0,12334,0.000,09/05/2024 12:00:36 AM
Montgomery2024-09-05T00:00:36,Montgomery,1,381561,0.000,09/05/2024 12:00:36 AM
Prince_George's2024-09-05T00:00:36,Prince George's,0,350986,0.000,09/05/2024 12:00:36 AM
Queen_Anne's2024-09-05T00:00:36,Queen Anne's,0,27627,0.000,09/05/2024 12:00:36 AM
Somerset2024-09-05T00:00:36,Somerset,0,11332,0.000,09/05/2024 12:00:36 AM
St._Mary's2024-09-05T00:00:36,St. Mary's,0,56237,0.000,09/05/2024 12:00:36 AM
Talbot2024-09-05T00:00:36,Talbot,0,23706,0.000,09/05/2024 12:00:36 AM
Washington2024-09-05T00:00:36,Washington,0,54026,0.000,09/05/2024 12:00:36 AM
Wicomico2024-09-05T00:00:36,Wicomico,0,50245,0.000,09/05/2024 12:00:36 AM
Worcester2024-09-05T00:00:36,Worcester,0,59063,0.000,09/05/2024 12:00:36 AM
Allegany2024-09-05T00:15:36,Allegany,0,37206,0.000,09/05/2024 12:15:36 AM
Anne_Arundel2024-09-05T00:15:36,Anne Arundel,4,260710,0.002,09/05/2024 12:15:36 AM
Baltimore2024-09-05T00:15:36,Baltimore,4,373184,0.001,09/05/2024 12:15:36 AM
Baltimore_City2024-09-05T00:15:36,Baltimore City,131,280617,0.047,09/05/2024 12:15:36 AM
Calvert2024-09-05T00:15:36,Calvert,0,41874,0.000,09/05/2024 12:15:36 AM
Caroline2024-09-05T00:15:36,Caroline,0,16253,0.000,09/05/2024 12:15:36 AM
Carroll2024-09-05T00:15:36,Carroll,0,76136,0.000,09/05/2024 12:15:36 AM
Cecil2024-09-05T00:15:36,Cecil,4,50187,0.008,09/05/2024 12:15:36 AM
Charles2024-09-05T00:15:36,Charles,90,72244,0.125,09/05/2024 12:15:36 AM
Dorchester2024-09-05T00:15:36,Dorchester,0,19928,0.000,09/05/2024 12:15:36 AM
Frederick2024-09-05T00:15:36,Frederick,1,116871,0.001,09/05/2024 12:15:36 AM
Garrett2024-09-05T00:15:36,Garrett,1,20396,0.005,09/05/2024 12:15:36 AM
Harford2024-09-05T00:15:36,Harford,0,114347,0.000,09/05/2024 12:15:36 AM
Howard2024-09-05T00:15:36,Howard,4,138196,0.003,09/05/2024 12:15:36 AM
Kent2024-09-05T00:15:36,Kent,0,12334,0.000,09/05/2024 12:15:36 AM
Montgomery2024-09-05T00:15:36,Montgomery,1,381561,0.000,09/05/2024 12:15:36 AM
Prince_George's2024-09-05T00:15:36,Prince George's,0,350986,0.000,09/05/2024 12:15:36 AM
Queen_Anne's2024-09-05T00:15:36,Queen Anne's,0,27627,0.000,09/05/2024 12:15:36 AM
Somerset2024-09-05T00:15:36,Somerset,0,11332,0.000,09/05/2024 12:15:36 AM
St._Mary's2024-09-05T00:15:36,St. Mary's,0,56237,0.000,09/05/2024 12:15:36 AM
Talbot2024-09-05T00:15:36,Talbot,0,23706,0.000,09/05/2024 12:15:36 AM
Washington2024-09-05T00:15:36,Washington,0,54026,0.000,09/05/2024 12:15:36 AM
Wicomico2024-09-05T00:15:36,Wicomico,0,50245,0.000,09/05/2024 12:15:36 AM
Worcester2024-09-05T00:15:36,Worcester,0,59063,0.000,09/05/2024 12:15:36 AM
Allegany2024-09-05T00:30:37,Allegany,0,37206,0.000,09/05/2024 12:30:37 AM
Anne_Arundel2024-09-05T00:30:37,Anne Arundel,4,260710,0.002,09/05/2024 12:30:37 AM
Baltimore2024-09-05T00:30:37,Baltimore,4,373184,0.001,09/05/2024 12:30:37 AM
Baltimore_City2024-09-05T00:30:37,Baltimore City,87,280617,0.031,09/05/2024 12:30:37 AM
Calvert2024-09-05T00:30:37,Calvert,0,41874,0.000,09/05/2024 12:30:37 AM
Caroline2024-09-05T00:30:37,Caroline,0,16253,0.000,09/05/2024 12:30:37 AM
Carroll2024-09-05T00:30:37,Carroll,0,76136,0.000,09/05/2024 12:30:37 AM
Cecil2024-09-05T00:30:37,Cecil,4,50187,0.008,09/05/2024 12:30:37 AM
Charles2024-09-05T00:30:37,Charles,90,72244,0.125,09/05/2024 12:30:37 AM
Dorchester2024-09-05T00:30:37,Dorchester,0,19928,0.000,09/05/2024 12:30:37 AM
Frederick2024-09-05T00:30:37,Frederick,1,116871,0.001,09/05/2024 12:30:37 AM
Garrett2024-09-05T00:30:37,Garrett,1,20396,0.005,09/05/2024 12:30:37 AM
Harford2024-09-05T00:30:37,Harford,0,114347,0.000,09/05/2024 12:30:37 AM
Howard2024-09-05T00:30:37,Howard,4,138196,0.003,09/05/2024 12:30:37 AM
Kent2024-09-05T00:30:37,Kent,0,12334,0.000,09/05/2024 12:30:37 AM
Montgomery2024-09-05T00:30:37,Montgomery,1,381561,0.000,09/05/2024 12:30:37 AM
Prince_George's2024-09-05T00:30:37,Prince George's,0,350986,0.000,09/05/2024 12:30:37 AM
Queen_Anne's2024-09-05T00:30:37,Queen Anne's,0,27627,0.000,09/05/2024 12:30:37 AM
Somerset2024-09-05T00:30:37,Somerset,0,11332,0.000,09/05/2024 12:30:37 AM
St._Mary's2024-09-05T00:30:37,St. Mary's,0,56237,0.000,09/05/2024 12:30:37 AM
Talbot2024-09-05T00:30:37,Talbot,0,23706,0.000,09/05/2024 12:30:37 AM
Washington2024-09-05T00:30:37,Washington,0,54026,0.000,09/05/2024 12:30:37 AM
Wicomico2024-09-05T00:30:37,Wicomico,0,50245,0.000,09/05/2024 12:30:37 AM
Worcester2024-09-05T00:30:37,Worcester,0,59063,0.000,09/05/2024 12:30:37 AM
Allegany2024-09-05T00:45:36,Allegany,0,37206,0.000,09/05/2024 12:45:36 AM
Anne_Arundel2024-09-05T00:45:36,Anne Arundel,4,260710,0.002,09/05/2024 12:45:36 AM
Baltimore2024-09-05T00:45:36,Baltimore,4,373184,0.001,09/05/2024 12:45:36 AM
Baltimore_City2024-09-05T00:45:36,Baltimore City,50,280617,0.018,09/05/2024 12:45:36 AM
Calvert2024-09-05T00:45:36,Calvert,0,41874,0.000,09/05/2024 12:45:36 AM
Caroline2024-09-05T00:45:36,Caroline,0,16253,0.000,09/05/2024 12:45:36 AM
Carroll2024-09-05T00:45:36,Carroll,0,76136,0.000,09/05/2024 12:45:36 AM
Cecil2024-09-05T00:45:36,Cecil,4,50187,0.008,09/05/2024 12:45:36 AM
Charles2024-09-05T00:45:36,Charles,90,72244,0.125,09/05/2024 12:45:36 AM
Dorchester2024-09-05T00:45:36,Dorchester,0,19928,0.000,09/05/2024 12:45:36 AM
Frederick2024-09-05T00:45:36,Frederick,1,116871,0.001,09/05/2024 12:45:36 AM
Garrett2024-09-05T00:45:36,Garrett,1,20396,0.005,09/05/2024 12:45:36 AM
Harford2024-09-05T00:45:36,Harford,0,114347,0.000,09/05/2024 12:45:36 AM
Howard2024-09-05T00:45:36,Howard,4,138196,0.003,09/05/2024 12:45:36 AM
Kent2024-09-05T00:45:36,Kent,0,12334,0.000,09/05/2024 12:45:36 AM
Montgomery2024-09-05T00:45:36,Montgomery,1,381561,0.000,09/05/2024 12:45:36 AM
Prince_George's2024-09-05T00:45:36,Prince George's,4,350986,0.001,09/05/2024 12:45:36 AM
Queen_Anne's2024-09-05T00:45:36,Queen Anne's,0,27627,0.000,09/05/2024 12:45:36 AM
Somerset2024-09-05T00:45:36,Somerset,0,11332,0.000,09/05/2024 12:45:36 AM
St._Mary's2024-09-05T00:45:36,St. Mary's,0,56237,0.000,09/05/2024 12:45:36 AM
Talbot2024-09-05T00:45:36,Talbot,0,23706,0.000,09/05/2024 12:45:36 AM
Washington2024-09-05T00:45:36,Washington,0,54026,0.000,09/05/2024 12:45:36 AM
Wicomico2024-09-05T00:45:36,Wicomico,0,50245,0.000,09/05/2024 12:45:36 AM
Worcester2024-09-05T00:45:36,Worcester,0,59063,0.000,09/05/2024 12:45:36 AM
Allegany2024-09-05T01:00:35,Allegany,0,37206,0.000,09/05/2024 01:00:35 AM
Anne_Arundel2024-09-05T01:00:35,Anne Arundel,4,260710,0.002,09/05/2024 01:00:35 AM
Baltimore2024-09-05T01:00:35,Baltimore,0,373184,0.000,09/05/2024 01:00:35 AM
Baltimore_City2024-09-05T01:00:35,Baltimore City,6,280617,0.002,09/05/2024 01:00:35 AM
Calvert2024-09-05T01:00:35,Calvert,0,41874,0.000,09/05/2024 01:00:35 AM
Caroline2024-09-05T01:00:35,Caroline,0,16253,0.000,09/05/2024 01:00:35 AM
Carroll2024-09-05T01:00:35,Carroll,0,76136,0.000,09/05/2024 01:00:35 AM
Cecil2024-09-05T01:00:35,Cecil,4,50187,0.008,09/05/2024 01:00:35 AM
